0 :   channel = 3    timestamp = e25bbab296, loca = 134      3d91392a, f000f000 ,203f04, ddddcccc, e2
1 :   channel = 3    timestamp = e25bbab507, loca = 464      3d92392b, f000f000 ,203f04, ddddcccc, e2
2 :   channel = 3    timestamp = e25bbab778, loca = 728      3d93392b, f000f000 ,203f04, ddddcccc, e2
3 :   channel = 3    timestamp = e25bbab9e9, loca = 992      3d97392b, f000f000 ,203f04, ddddcccc, e2
4 :   channel = 3    timestamp = e25bbabc5a, loca = 1191      3d94392b, f000f000 ,203f04, ddddcccc, e2
5 :   channel = 3    timestamp = e25bbabecb, loca = 1521      3d93392c, f000f000 ,203f04, ddddcccc, e2
6 :   channel = 3    timestamp = e25bbac13c, loca = 1785      3d96392c, f000f000 ,203f04, ddddcccc, e2
7 :   channel = 3    timestamp = e25bbac3ad, loca = 2050      f00f, 203f04 ,203f04, ddddcccc, e2
8 :   channel = 3    timestamp = e25bbac61e, loca = 2248      3d96392c, f000f000 ,203f04, ddddcccc, e2
9 :   channel = 3    timestamp = e25bbac88f, loca = 2578      3d95392b, f000f000 ,203f04, ddddcccc, e2
10 :   channel = 3    timestamp = e25bbacb00, loca = 2842      3d92392d, f000f000 ,203f04, ddddcccc, e2
11 :   channel = 3    timestamp = e25bbacd71, loca = 3107      3d94392c, f000f000 ,203f04, ddddcccc, e2
12 :   channel = 3    timestamp = e25bbacfe2, loca = 3305      3d8f392d, f000f000 ,203f04, ddddcccc, e2
13 :   channel = 3    timestamp = e25bbad253, loca = 3635      3d92392c, f000f000 ,203f04, ddddcccc, e2
14 :   channel = 3    timestamp = e25bbad4c4, loca = 3899      3d8c392c, f000f000 ,203f04, ddddcccc, e2
15 :   channel = 3    timestamp = e25bbad735, loca = 4197      3d90392d, f000f000 ,203f04, ddddcccc, e2
16 :   channel = 3    timestamp = e25bbad9a6, loca = 4395      3d92392b, f000f000 ,203f04, ddddcccc, e2
17 :   channel = 3    timestamp = e25bbadc17, loca = 4725      3d92392a, f000f000 ,203f04, ddddcccc, e2
18 :   channel = 3    timestamp = e25bbade88, loca = 4989      3d91392c, f000f000 ,203f04, ddddcccc, e2
19 :   channel = 3    timestamp = e25bbae0f9, loca = 5254      3d90392c, f000f000 ,203f04, ddddcccc, e2
20 :   channel = 3    timestamp = e25bbae36a, loca = 5452      3d96392b, f000f000 ,203f04, ddddcccc, e2
21 :   channel = 3    timestamp = e25bbae5db, loca = 5782      3d94392c, f000f000 ,203f04, ddddcccc, e2
22 :   channel = 3    timestamp = e25bbae84c, loca = 6046      3d96392b, f000f000 ,203f04, ddddcccc, e2
23 :   channel = 3    timestamp = e25bbaeabd, loca = 6311      3d9b392b, f000f000 ,203f04, ddddcccc, e2
24 :   channel = 3    timestamp = e25bbaed2e, loca = 6509      3d98392b, f000f000 ,203f04, ddddcccc, e2
25 :   channel = 3    timestamp = e25bbaef9f, loca = 6839      3d9b392b, f000f000 ,203f04, ddddcccc, e2
26 :   channel = 3    timestamp = e25bbaf210, loca = 7103      3d9d392b, f000f000 ,203f04, ddddcccc, e2
27 :   channel = 3    timestamp = e25bbaf481, loca = 7368      3d96392b, f000f000 ,203f04, ddddcccc, e2
28 :   channel = 3    timestamp = e25bbaf6f2, loca = 7566      3d9a392b, f000f000 ,203f04, ddddcccc, e2
29 :   channel = 3    timestamp = e25bbaf963, loca = 7896      3d9c392b, f000f000 ,203f04, ddddcccc, e2
30 :   channel = 3    timestamp = e25bbafbd4, loca = 8160      3d9b392a, f000f000 ,203f04, ddddcccc, e2
31 :   channel = 3    timestamp = e25bbafe45, loca = 8425      3d9c392c, f000f000 ,203f04, ddddcccc, e2
32 :   channel = 3    timestamp = e25bbb00b6, loca = 8623      3d9a392a, f000f000 ,203f04, ddddcccc, e2
33 :   channel = 3    timestamp = e25bbb0327, loca = 8953      3d9c392b, f000f000 ,203f04, ddddcccc, e2
34 :   channel = 3    timestamp = e25bbb0598, loca = 9218      f00f, 203f04 ,203f04, ddddcccc, e2
35 :   channel = 3    timestamp = e25bbb0809, loca = 9482      3d9d392b, f000f000 ,203f04, ddddcccc, e2
36 :   channel = 3    timestamp = e25bbb0a7a, loca = 9680      3da1392c, f000f000 ,203f04, ddddcccc, e2
37 :   channel = 3    timestamp = e25bbb0ceb, loca = 10010      3d9d392c, f000f000 ,203f04, ddddcccc, e2
38 :   channel = 3    timestamp = e25bbb0f5c, loca = 10275      3d9b392d, f000f000 ,203f04, ddddcccc, e2
39 :   channel = 3    timestamp = e25bbb11cd, loca = 10539      3d9d392e, f000f000 ,203f04, ddddcccc, e2
40 :   channel = 3    timestamp = e25bbb143e, loca = 10737      3d97392d, f000f000 ,203f04, ddddcccc, e2
41 :   channel = 3    timestamp = e25bbb16af, loca = 11067      3d99392c, f000f000 ,203f04, ddddcccc, e2
42 :   channel = 3    timestamp = e25bbb1920, loca = 11332      3d9b392d, f000f000 ,203f04, ddddcccc, e2
43 :   channel = 3    timestamp = e25bbb1b91, loca = 11596      3d99392c, f000f000 ,203f04, ddddcccc, e2
44 :   channel = 3    timestamp = e25bbb1e02, loca = 11794      3d9f392d, f000f000 ,203f04, ddddcccc, e2
45 :   channel = 3    timestamp = e25bbb2073, loca = 12124      3d9e392d, f000f000 ,203f04, ddddcccc, e2
46 :   channel = 3    timestamp = e25bbb22e4, loca = 12389      3da2392c, f000f000 ,203f04, ddddcccc, e2
47 :   channel = 3    timestamp = e25bbb2555, loca = 12653      3da2392d, f000f000 ,203f04, ddddcccc, e2
